18.0.0.0/8 21
46.17.120.0/21 21
46.18.104.0/21 21
46.18.176.0/21 21
46.18.224.0/21 21
46.19.104.0/21 21
46.21.240.0/21 21
46.21.248.0/21 21
46.22.112.0/20 21
46.23.0.0/20 21
46.23.48.0/20 21
46.23.240.0/20 21
46.28.56.0/24 21
46.28.104.0/21 21
46.29.0.0/21 21
46.29.8.0/21 21
46.29.16.0/21 21
46.29.72.0/21 21
46.29.80.0/21 21
46.30.104.0/23 21
46.30.138.0/23 21
46.30.216.0/23 21
46.31.56.0/21 21
46.31.80.0/21 21
46.31.88.0/21 21
46.31.128.0/21 21
46.32.160.0/24 21
46.32.160.0/20 21
46.32.161.0/24 21
46.32.162.0/24 21
46.32.163.0/24 21
46.32.164.0/24 21
46.32.165.0/24 21
46.32.166.0/24 21
46.32.167.0/24 21
46.32.168.0/24 21
46.32.169.0/24 21
46.32.170.0/24 21
46.32.171.0/24 21
46.32.172.0/24 21
46.32.173.0/24 21
46.32.174.0/24 21
46.32.175.0/24 21
46.32.176.0/24 21
46.32.177.0/24 21
46.32.178.0/24 21
46.32.179.0/24 21
46.32.180.0/24 21
46.32.181.0/24 21
46.32.182.0/24 21
46.32.183.0/24 21
46.32.184.0/24 21
46.32.185.0/24 21
46.32.186.0/24 21
46.32.187.0/24 21
46.32.188.0/24 21
46.32.189.0/24 21
46.32.190.0/24 21
46.32.191.0/24 21
46.32.192.0/19 21
46.34.32.0/20 21
46.47.0.0/24 21
46.47.1.0/24 21
46.47.2.0/23 21
46.47.4.0/23 21
46.47.4.0/22 21
46.47.6.0/23 21
46.47.8.0/22 21
46.47.8.0/21 21
46.47.12.0/22 21
46.47.16.0/22 21
46.47.16.0/21 21
46.47.20.0/22 21
46.47.24.0/24 21
46.60.0.0/19 21
46.60.32.0/20 21
46.60.48.0/20 21
46.60.64.0/19 21
46.148.80.0/20 21
46.148.160.0/20 21
46.148.208.0/20 21
46.149.64.0/20 21
46.149.144.0/20 21
46.149.176.0/20 21
46.150.224.0/19 21
46.151.16.0/21 21
46.151.136.0/21 21
46.151.232.0/21 21
